epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.537,0.92794,2.17414,1.09283,0.6128,0.65573,0.67972,0.53205,0.75982,2.22484,1.02393,0.000472191,0.000472191,0.000472191
2,292.636,1.05906,2.11488,1.15489,0.48903,0.64637,0.66189,0.50657,0.7761,2.51848,1.04729,0.000942264,0.000942264,0.000942264
3,435.783,1.01925,2.07312,1.14877,0.62014,0.6298,0.66845,0.47345,0.8898,2.94855,1.13872,0.00140605,0.00140605,0.00140605
4,577.29,1.07464,1.97374,1.18792,0.39276,0.69597,0.62056,0.47664,0.8215,3.3278,1.05151,0.00140071,0.00140071,0.00140071
5,718.786,1.04934,1.90275,1.16707,0.65745,0.65361,0.68355,0.52678,0.89731,1.98051,1.11148,0.00139127,0.00139127,0.00139127
6,859.953,1.05851,1.72316,1.18377,0.65104,0.62471,0.64026,0.48896,0.84557,2.22908,1.1276,0.00138184,0.00138184,0.00138184
7,1000.66,1.0459,1.68665,1.17007,0.67431,0.78115,0.74578,0.57442,0.78953,1.83999,1.05134,0.00137241,0.00137241,0.00137241
8,1141.2,1.00636,1.56561,1.13837,0.65872,0.72734,0.71214,0.54797,0.81549,2.06633,1.07079,0.00136298,0.00136298,0.00136298
9,1282.5,1.0404,1.48807,1.15206,0.81913,0.73053,0.80723,0.62974,0.7572,1.29301,1.05154,0.00135355,0.00135355,0.00135355
10,1430.17,0.98932,1.37233,1.10728,0.80172,0.80951,0.82166,0.64942,0.73824,1.16312,1.02197,0.00134412,0.00134412,0.00134412
11,1573.82,0.93936,1.38293,1.10113,0.85636,0.71246,0.81097,0.64742,0.77243,1.10121,1.05808,0.00133469,0.00133469,0.00133469
12,1716.2,0.9979,1.28651,1.14477,0.81845,0.77682,0.80527,0.61352,0.76631,1.13996,1.04289,0.00132525,0.00132525,0.00132525
13,1858.35,0.95661,1.24827,1.10304,0.78502,0.68366,0.74584,0.57003,0.79916,1.67063,1.07646,0.00131582,0.00131582,0.00131582
14,2000.94,0.98206,1.21836,1.11716,0.83646,0.72841,0.78635,0.61936,0.73766,1.12158,1.01816,0.00130639,0.00130639,0.00130639
15,2142.81,0.95221,1.17742,1.10132,0.80996,0.72831,0.79376,0.62472,0.69553,1.1143,1.02509,0.00129696,0.00129696,0.00129696
16,2285.18,0.96044,1.22656,1.14011,0.66763,0.65433,0.7314,0.57044,0.73549,1.19206,1.02753,0.00128753,0.00128753,0.00128753
17,2428.21,0.91221,1.1746,1.08026,0.76104,0.70779,0.80139,0.62547,0.73066,1.10391,0.99822,0.0012781,0.0012781,0.0012781
18,2569.49,0.9346,1.10972,1.09939,0.84527,0.74131,0.81866,0.65157,0.72707,0.92502,1.01981,0.00126867,0.00126867,0.00126867
19,2712.23,0.91431,1.04761,1.08459,0.85538,0.82139,0.85713,0.6682,0.71888,0.84828,1.01265,0.00125923,0.00125923,0.00125923
20,2853.6,0.92556,1.05078,1.1075,0.84142,0.80506,0.85786,0.67784,0.70569,0.84102,1.00967,0.0012498,0.0012498,0.0012498
21,2994.84,0.92834,1.05502,1.08798,0.88503,0.73564,0.83435,0.65867,0.7231,0.91451,1.00449,0.00124037,0.00124037,0.00124037
22,3135.96,0.90688,1.03376,1.08528,0.77946,0.71394,0.78784,0.62594,0.71678,0.91109,1.00944,0.00123094,0.00123094,0.00123094
