epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66397,0.65741,3.0258,1.04679,0.01404,0.92857,0.36999,0.20995,0.99836,3.06748,1.08545,6.668e-05,6.668e-05,6.668e-05
2,12.0986,0.6913,2.84784,1.08452,0.01408,0.95455,0.46657,0.34919,0.82532,2.97438,1.0169,0.000147059,0.000147059,0.000147059
3,16.2362,0.592,2.52368,0.97109,0.01409,0.95455,0.51368,0.40805,0.78049,2.94135,0.97186,0.000224138,0.000224138,0.000224138
4,20.485,0.68797,2.33535,1.0293,0.01501,1,0.56445,0.43677,0.83439,2.80341,0.96218,0.000297916,0.000297916,0.000297916
5,24.5322,0.69011,1.9658,1.00548,0.01506,1,0.52959,0.42945,0.85712,2.67315,0.9843,0.000368394,0.000368394,0.000368394
6,28.8314,0.59901,1.70989,0.98793,0.89478,0.44104,0.61375,0.50025,0.94877,2.45539,1.01325,0.00043557,0.00043557,0.00043557
7,33.0753,0.68955,1.67053,0.982,0.74315,0.51299,0.62524,0.46135,1.09427,2.33858,1.13387,0.000499447,0.000499447,0.000499447
8,37.3263,0.65385,1.42947,0.96421,0.74315,0.51299,0.62524,0.46135,1.09427,2.33858,1.13387,0.000560022,0.000560022,0.000560022
9,41.3517,0.61313,1.39686,0.99456,0.60701,0.41991,0.54839,0.37524,1.23025,2.35364,1.24122,0.000617297,0.000617297,0.000617297
10,45.3621,0.63888,1.28057,1.01655,0.42676,0.31035,0.42325,0.23418,1.21851,2.61786,1.28122,0.000671271,0.000671271,0.000671271
11,49.5261,0.70458,1.65638,1.03545,0.42676,0.31035,0.42325,0.23418,1.21851,2.61786,1.28122,0.000721944,0.000721944,0.000721944
12,53.7765,0.62016,1.41223,0.98268,0.5743,0.33037,0.40408,0.2598,1.18975,2.72678,1.35686,0.000769317,0.000769317,0.000769317
13,57.9786,0.65572,1.29059,0.99867,0.5743,0.33037,0.40408,0.2598,1.18975,2.72678,1.35686,0.000813389,0.000813389,0.000813389
14,62.275,0.61759,1.24606,0.95428,0.5743,0.33037,0.40408,0.2598,1.18975,2.72678,1.35686,0.000854161,0.000854161,0.000854161
15,66.5347,0.72453,1.25627,1.08621,0.84764,0.35996,0.48993,0.29645,1.28982,2.55341,1.35717,0.000891632,0.000891632,0.000891632
16,70.9931,0.64788,1.20453,0.97065,0.84764,0.35996,0.48993,0.29645,1.28982,2.55341,1.35717,0.000925802,0.000925802,0.000925802
17,75.4591,0.59912,1.1255,0.95221,0.84764,0.35996,0.48993,0.29645,1.28982,2.55341,1.35717,0.000956671,0.000956671,0.000956671
18,79.7764,0.63649,1.16821,0.99637,0.59367,0.68133,0.60892,0.37038,1.33083,2.30199,1.34385,0.00098424,0.00098424,0.00098424
19,84.3422,0.62146,1.14834,1.00459,0.59367,0.68133,0.60892,0.37038,1.33083,2.30199,1.34385,0.00100851,0.00100851,0.00100851
20,88.6074,0.6271,1.06773,0.98017,0.59367,0.68133,0.60892,0.37038,1.33083,2.30199,1.34385,0.00102948,0.00102948,0.00102948
21,92.9542,0.57101,1.01848,0.95023,0.81845,0.72078,0.79783,0.58275,1.0562,1.64122,1.14714,0.00100687,0.00100687,0.00100687
22,97.2148,0.61789,1.19544,0.98724,0.81845,0.72078,0.79783,0.58275,1.0562,1.64122,1.14714,0.000973861,0.000973861,0.000973861
23,101.292,0.65351,1.22998,1.05289,0.81845,0.72078,0.79783,0.58275,1.0562,1.64122,1.14714,0.000940855,0.000940855,0.000940855
24,105.604,0.60165,0.97432,0.94095,0.94834,0.78651,0.90758,0.65622,0.93426,1.50012,1.08354,0.000907848,0.000907848,0.000907848
25,109.885,0.60158,1.13362,0.97334,0.94834,0.78651,0.90758,0.65622,0.93426,1.50012,1.08354,0.000874842,0.000874842,0.000874842
26,114.011,0.61908,0.95731,0.9702,0.94834,0.78651,0.90758,0.65622,0.93426,1.50012,1.08354,0.000841835,0.000841835,0.000841835
27,118.312,0.55711,0.93023,0.93099,0.91066,0.76043,0.90025,0.69854,0.84249,1.38076,1.03562,0.000808828,0.000808828,0.000808828
28,122.58,0.61095,0.95301,0.96929,0.91066,0.76043,0.90025,0.69854,0.84249,1.38076,1.03562,0.000775822,0.000775822,0.000775822
29,126.824,0.59106,0.94639,1.02218,0.91066,0.76043,0.90025,0.69854,0.84249,1.38076,1.03562,0.000742815,0.000742815,0.000742815
30,131.117,0.67554,1.08834,1.06073,0.94435,0.78686,0.89766,0.71281,0.83283,1.23636,1.02509,0.000709809,0.000709809,0.000709809
31,135.331,0.61642,0.88935,0.96549,0.94435,0.78686,0.89766,0.71281,0.83283,1.23636,1.02509,0.000676802,0.000676802,0.000676802
